t (s),Vnoisy raw(cm/s)
0,0
0.001,3.024993751
0.002,1.049975008
0.003,0.074943778
0.004,0.099900067
0.005,0.12484388
0.006,0.149775225
0.007,1.174694107
0.008,0.199600533
0.009,1.224494509
0.01,0.24937604
0.011,0.274245135
0.012,0.299101797
0.013,0.323946035
0.014,0.348777853
0.015,0.373597259
0.016,3.398404258
0.017,0.423198857
0.018,0.447981061
0.019,0.472750878
0.02,0.497508313
0.021,0.522253372
0.022,1.546986061
0.023,1.571706388
0.024,2.596414357
0.025,0.621109975
0.026,0.645793249
0.027,0.670464184
0.028,0.695122787
0.029,2.719769063
0.03,1.74440302
0.031,1.769024662
0.032,0.793633997
0.033,0.81823103
0.034,3.842815768
0.035,2.867388217
0.036,0.891948382
0.037,1.91649627
0.038,0.941031888
0.039,0.965555241
0.04,0.990066335
0.041,1.014565176
0.042,2.039051772
0.043,1.063526127
0.044,1.087988247
0.045,3.11243814
0.046,1.136875811
0.047,1.161301267
0.048,1.185714512
0.049,1.210115554
0.05,2.234504399
0.051,1.258881052
0.052,1.28324552
0.053,1.307597808
0.054,1.331937924
0.055,1.356265872
0.056,1.38058166
0.057,1.404885293
0.058,1.429176777
0.059,1.453456118
0.06,1.477723323
0.061,4.501978397
0.062,2.526221346
0.063,4.550452177
0.064,1.574670896
0.065,1.598877508
0.066,1.623072021
0.067,1.647254438
0.068,3.671424768
0.069,1.695583016
0.07,3.719729187
0.071,1.743863288
0.072,1.767985326
0.073,1.792095305
0.074,2.816193233
0.075,4.840279114
0.076,1.864352955
0.077,1.888414763
0.078,1.912464543
0.079,2.9365023
0.08,3.960528042
0.081,3.984541774
0.082,3.008543503
0.083,5.032533233
0.084,5.056510971
0.085,2.080476724
0.086,2.104430497
0.087,4.128372295
0.088,3.152302126
0.089,2.176219995
0.09,4.200125908
0.091,4.224019871
0.092,5.24790189
0.093,3.271771972
0.094,2.29563012
0.095,2.319476343
0.096,2.343310646
0.097,3.367133035
0.098,2.390943515
0.099,5.414742093
0.1,2.438528775
0.101,2.462303566
0.102,5.486066473
0.103,3.509817502
0.104,2.533556658
0.105,2.557283947
0.106,2.580999376
0.107,4.60470295
0.108,3.628394675
0.109,2.652074557
0.11,2.675742602
0.111,2.699398816
0.112,2.723043205
0.113,2.746675775
0.114,2.770296532
0.115,2.793905481
0.116,5.817502628
0.117,2.84108798
0.118,2.864661542
0.119,2.88822332
0.12,2.911773321
0.121,5.935311549
0.122,4.958838011
0.123,5.982352713
0.124,3.00585566
0.125,3.029346859
0.126,3.052826316
0.127,6.076294035
0.128,3.099750023
0.129,3.123194287
0.13,3.146626831
0.131,3.170047662
0.132,5.193456785
0.133,3.216854207
0.134,3.240239933
0.135,3.263613969
0.136,3.286976321
0.137,3.310326995
0.138,3.333665996
0.139,3.356993331
0.14,3.380309005
0.141,3.403613024
0.142,3.426905394
0.143,3.45018612
0.144,3.473455209
0.145,3.496712667
0.146,3.519958499
0.147,4.54319271
0.148,3.566415308
0.149,3.589626297
0.15,3.612825684
0.151,3.636013473
0.152,3.659189672
0.153,3.682354286
0.154,3.70550732
0.155,3.72864878
0.156,4.751778673
0.157,3.774897003
0.158,4.798003778
0.159,3.821099002
0.16,3.844182681
0.161,6.867254821
0.162,3.890315428
0.163,5.913364507
0.164,3.936402065
0.165,3.959428107
0.166,3.982442639
0.167,4.005445666
0.168,4.028437195
0.169,4.051417231
0.17,4.07438578
0.171,4.097342847
0.172,4.120288439
0.173,4.143222561
0.174,4.166145218
0.175,4.189056417
0.176,4.211956164
0.177,6.234844463
0.178,4.257721321
0.179,4.280586744
0.18,7.303440736
0.181,4.326283305
0.182,4.349114455
0.183,4.371934192
0.184,4.394742523
0.185,4.417539452
0.186,4.440324985
0.187,4.463099129
0.188,6.485861888
0.189,7.508613269
0.19,7.531353277
0.191,4.554081917
0.192,5.576799197
0.193,4.59950512
0.194,5.622199693
0.195,4.644882922
0.196,6.667554812
0.197,4.690215369
0.198,4.712864599
0.199,5.735502507
0.2,4.758129098
0.201,4.780744379
0.202,4.803348356
0.203,6.825941033
0.204,4.848522417
0.205,4.871092512
0.206,7.893651326
0.207,5.916198863
0.208,4.938735129
0.209,6.96126013
0.21,4.983773871
0.211,5.006276358
0.212,6.028767596
0.213,5.051247592
0.214,5.07371635
0.215,5.096173877
0.216,5.118620178
0.217,5.141055259
0.218,5.163479125
0.219,5.185891782
0.22,5.208293235
0.221,5.230683491
0.222,8.253062554
0.223,5.27543043
0.224,5.297787125
0.225,5.320132645
0.226,5.342466994
0.227,5.364790179
0.228,8.387102206
0.229,6.409403079
0.23,5.431692805
0.231,5.453971388
0.232,7.476238835
0.233,5.498495151
0.234,8.520740342
0.235,8.542974413
0.236,7.565197369
0.237,5.587409217
0.238,5.609609962
0.239,8.631799609
0.24,5.653978164
0.241,5.676145633
0.242,5.69830202
0.243,5.720447333
0.244,5.742581575
0.245,5.764704753
0.246,5.786816872
0.247,8.808917938
0.248,5.831007956
0.249,7.853086932
0.25,6.875154871
0.251,5.897211779
0.252,5.919257661
0.253,8.941292523
0.254,5.96331637
0.255,5.985329208
0.256,6.007331043
0.257,6.029321879
0.258,6.051301723
0.259,6.073270579
0.26,6.095228454
0.261,6.117175353
0.262,9.13911128
0.263,8.161036243
0.264,8.182950246
0.265,6.204853295
0.266,6.226745395
0.267,8.248626551
0.268,7.27049677
0.269,6.292356056
0.27,6.314204416
0.271,6.336041854
0.272,8.357868376
0.273,6.379683987
0.274,6.401488693
0.275,6.4232825
0.276,8.445065413
0.277,8.466837437
0.278,6.488598577
0.279,6.51034884
0.28,9.53208823
0.281,7.553816753
0.282,6.575534415
0.283,6.597241221
0.284,6.618937176
0.285,6.640622285
0.286,6.662296555
0.287,6.683959991
0.288,6.705612597
0.289,6.72725438
0.29,6.748885344
0.291,8.770505496
0.292,6.792114841
0.293,7.813713383
0.294,6.835301129
0.295,6.856878084
0.296,6.878444253
0.297,6.899999641
0.298,6.921544255
0.299,7.943078099
0.3,6.964601179
0.301,6.9861135
0.302,9.007615067
0.303,7.029105886
0.304,7.050585963
0.305,8.072055302
0.306,8.093513909
0.307,8.11496179
0.308,7.136398949
0.309,10.15782539
0.31,7.179241126
0.311,7.200646154
0.312,7.222040481
0.313,7.243424115
0.314,7.264797059
0.315,7.28615932
0.316,9.307510902
0.317,7.32885181
0.318,7.350182052
0.319,8.37150163
0.32,7.392810552
0.321,8.414108821
0.322,7.435396445
0.323,9.456673427
0.324,8.477939773
0.325,8.499195489
0.326,10.52044058
0.327,9.54167505
0.328,7.562898906
0.329,9.584112153
0.33,8.605314796
0.331,7.62650684
0.332,7.647688291
0.333,9.668859153
0.334,7.690019433
0.335,9.711169136
0.336,10.73230827
0.337,7.753436829
0.338,7.774554831
0.339,7.795662276
0.34,7.81675917
0.341,7.837845519
0.342,7.858921326
0.343,7.879986599
0.344,8.901041342
0.345,7.922085559
0.346,7.943119258
0.347,8.964142442
0.348,7.985155117
0.349,8.006157289
0.35,8.027148962
0.351,8.048130141
0.352,8.069100833
0.353,8.090061042
0.354,10.11101077
0.355,8.131950033
0.356,11.15287883
0.357,8.173797156
0.358,8.19470503
0.359,9.215602453
0.36,8.236489429
0.361,8.257365965
0.362,10.27823207
0.363,8.299087735
0.364,8.319932979
0.365,8.340767804
0.366,11.36159221
0.367,8.382406213
0.368,8.403209809
0.369,8.424003005
0.37,11.44478581
0.371,8.465558221
0.372,9.486320251
0.373,11.5070719
0.374,8.527813181
0.375,8.548544091
0.376,8.569264638
0.377,8.589974828
0.378,11.61067467
0.379,8.631364155
0.38,8.652043303
0.381,10.67271211
0.382,9.693370592
0.383,8.714018745
0.384,10.73465658
0.385,9.75528409
0.386,8.775901293
0.387,8.79650819
0.388,11.81710479
0.389,11.83769109
0.39,11.8582671
0.391,10.87883282
0.392,8.899388266
0.393,11.91993344
0.394,9.940468334
0.395,8.960992969
0.396,8.981507343
0.397,9.002011463
0.398,9.022505333
0.399,9.042988959
0.4,10.06346235
0.401,9.083925499
0.402,9.104378422
0.403,11.12482112
0.404,9.145253603
0.405,9.16567587
0.406,11.18608793
0.407,12.20648978
0.408,9.226881441
0.409,10.2472629
0.41,9.267634179
0.411,9.287995272
0.412,9.308346186
0.413,11.32868693
0.414,9.349017501
0.415,9.369337911
0.416,12.38964816
0.417,9.409948265
0.418,10.43023822
0.419,9.450518028
0.42,9.470787701
0.421,9.491047242
0.422,10.51129666
0.423,11.53153595
0.424,12.55176512
0.425,9.571984184
0.426,9.592193139
0.427,9.612391992
0.428,9.632580749
0.429,11.65275941
0.43,9.672927991
0.431,9.693086487
